timestamp_us,rssi,num_subcarriers,amp_0,amp_1,amp_2,amp_3,amp_4,amp_5,amp_6,amp_7,amp_8,amp_9,amp_10,amp_11,amp_12,amp_13,amp_14,amp_15,amp_16,amp_17,amp_18,amp_19,amp_20,amp_21,amp_22,amp_23,amp_24,amp_25,amp_26,amp_27,amp_28,amp_29,amp_30,amp_31,amp_32,amp_33,amp_34,amp_35,amp_36,amp_37,amp_38,amp_39,amp_40,amp_41,amp_42,amp_43,amp_44,amp_45,amp_46,amp_47,amp_48,amp_49,amp_50,amp_51
300000,-59,52,14.7173,16.4105,16.9122,17.8582,18.6321,18.9791,19.9188,20.776,21.8001,21.8392,22.2117,22.794,22.9653,22.709,23.4941,22.5196,22.7001,22.0569,21.1458,21.3843,20.0826,19.6841,18.0637,17.949,16.2568,16.5724,15.1147,13.6152,13.5334,12.7971,11.828,11.0099,9.627,9.132,8.4934,7.8026,7.5645,7.2043,7.4329,7.4777,7.1745,7.2103,7.5662,7.6855,8.2003,8.8007,9.9294,10.5849,11.1127,11.8337,13.4893,13.916
320000,-57,52,15.0564,15.906,17.2997,18.0134,19.6285,19.0507,20.2985,20.6681,21.9303,22.3302,22.7063,22.5343,22.7181,22.3911,23.4545,22.92,22.4019,22.3637,21.8091,21.2807,19.8179,19.3304,18.7764,17.9435,17.2017,15.6617,15.0382,14.6973,13.2931,12.4243,11.2765,10.6858,10.2362,9.0439,8.7833,7.6538,7.6969,7.5037,6.8327,7.3294,6.8558,6.9909,7.5195,8.4959,8.5089,9.2926,9.4755,10.4787,10.9292,11.9918,13.3362,14.0242
340000,-60,52,14.9406,16.3473,16.7199,17.3809,19.1082,19.6688,19.6554,21.0014,21.4627,22.6071,22.2614,22.5933,22.6686,22.6838,22.7315,22.3368,22.1708,21.6017,21.1347,20.5202,20.1486,19.3394,18.3498,17.9803,16.9001,15.8347,14.8608,14.5136,13.1574,12.3058,10.5064,10.2594,9.0437,8.8841,8.5281,7.7141,7.6755,6.9256,7.2311,6.5339,6.9798,7.3584,7.6806,7.8782,8.998,8.8876,9.5597,9.6276,11.8129,12.0525,12.7327,14.432
360000,-72,52,14.986,16.1178,16.5763,18.2035,18.6954,19.8375,20.1187,20.767,21.4298,21.7819,21.955,22.2772,22.7479,23.3633,22.6861,22.4265,22.0256,22.1874,21.4955,20.8676,20.3843,19.5677,18.8668,17.833,16.9501,16.3352,14.779,14.2217,13.5255,12.0183,10.8957,10.3557,9.6035,8.3942,8.0965,7.4465,6.9895,6.761,6.973,7.4513,7.1248,7.551,7.5447,8.2,8.7011,8.9776,10.0469,10.2055,11.506,12.2527,13.8028,13.8905
380000,-58,52,15.1737,16.0771,16.4035,17.2231,18.9745,19.629,20.8313,20.9511,21.7407,22.626,22.1044,22.6344,23.026,22.7984,23.0223,22.2448,22.281,21.9465,22.4677,20.8991,19.785,19.4103,19.1818,18.2203,17.1056,16.1724,15.0956,13.6473,13.3199,12.1865,11.5015,10.6797,9.7772,9.0831,8.1466,8.0072,7.2462,7.0498,7.132,7.408,6.9648,6.5827,7.3822,7.7027,8.3693,8.9528,10.2766,10.4503,11.1539,12.2272,13.0094,13.7199
400000,-70,52,14.9256,16.1171,17.2091,18.1359,18.3108,19.3026,20.0084,21.2634,21.4848,22.4256,21.998,22.9937,23.2709,23.2881,23.2148,22.5036,22.6912,21.8457,21.8204,20.7876,20.4464,19.277,18.6846,17.5792,16.8264,16.1769,15.4378,13.9043,12.956,12.1843,11.5564,10.6185,9.6852,8.7224,8.4883,7.9933,7.891,7.1287,6.9097,6.7296,7.5588,6.7232,6.9291,8.2271,8.6504,9.0904,9.6414,10.5851,11.1085,12.1551,12.5075,14.1007
420000,-61,52,15.162,15.7272,16.9455,17.4461,18.9217,19.0021,20.8521,20.8998,21.2585,21.8019,23.1609,22.8809,23.055,22.7922,23.1395,23.1909,22.3811,22.3385,22.1893,21.0113,20.0273,19.4216,18.9847,18.1674,17.4021,16.0594,15.068,14.3413,12.9296,12.4058,11.19,9.9441,9.5798,8.9598,8.5822,7.9733,7.1883,6.9295,6.9972,7.4376,6.7356,7.2616,7.4469,8.4141,8.6563,9.2205,9.6013,10.8976,10.8388,12.2005,13.3742,14.1204
440000,-71,52,15.2538,15.9766,16.9538,17.995,18.7085,19.8119,20.8018,21.0122,21.7159,22.3457,22.3787,22.429,23.2135,22.5294,23.4783,23.0287,22.5364,22.099,22.1093,20.7042,19.9569,19.3651,18.6392,17.5349,16.9607,16.0051,14.7558,14.5166,12.6679,11.7801,11.3951,10.3932,9.8203,8.8262,8.1061,7.7227,7.3148,7.39,6.9143,7.2284,7.2348,7.5446,7.7901,8.1517,8.6471,8.8569,9.6165,9.9064,11.3697,11.961,13.2059,14.194
460000,-68,52,15.0281,15.5272,17.1428,18.3002,18.2154,19.5631,20.3253,20.6612,21.9276,21.9062,22.203,22.452,23.2189,22.6826,23.0074,22.8592,22.2419,22.1742,21.5681,21.0889,20.0466,19.5326,18.6198,17.8674,16.9734,15.8599,15.388,13.5914,12.8178,11.9272,10.9112,10.544,9.8608,8.3957,7.8966,8.0861,7.367,7.0169,6.8888,7.0262,7.1881,7.2856,7.7416,7.7534,8.3371,8.6653,9.8009,10.6556,10.9838,12.2862,12.9109,14.0106
480000,-61,52,15.2584,15.8178,16.9838,17.39,19.1186,19.6814,20.1689,21.2194,21.3067,21.978,22.4728,23.3535,23.3391,22.9096,23.0141,22.8678,22.1346,21.5109,21.4219,21.3954,20.2223,19.4103,18.6855,17.7148,16.5128,15.8084,14.9257,14.1739,12.873,11.4675,11.9442,10.4437,10.0671,9.2596,8.3587,7.9133,7.2534,7.9198,6.7796,7.4288,7.5521,8.5269,7.6612,8.1241,8.5009,8.665,9.2188,10.3339,10.8465,12.0898,13.3823,13.744
500000,-60,52,15.1072,16.1205,16.7669,17.4436,19.1103,19.2692,20.5798,21.0655,21.4333,21.3052,22.0951,22.4466,22.9878,22.7859,22.9946,23.5445,22.6193,21.4493,21.7395,21.4122,20.0128,19.4061,18.7812,17.3201,16.6021,15.9586,15.1051,14.2062,12.6031,11.7906,11.6073,10.5661,9.2119,9.5186,8.3293,7.5656,7.6088,7.3211,7.2334,7.277,6.4946,7.1851,8.0726,8.2755,8.6699,8.4424,9.9765,10.3241,11.0512,12.339,12.992,14.1169
520000,-65,52,15.6826,16.0865,17.1455,17.4686,18.7598,19.3868,20.1753,21.5375,21.5294,21.929,22.3899,22.4529,23.0635,23.004,22.9205,23.3366,22.0191,21.9377,21.4404,20.9628,20.2448,19.7912,19.0168,17.9294,17.0048,15.6452,15.4995,14.4535,13.0406,12.132,11.06,10.4339,9.892,9.2612,8.249,7.7694,7.1361,7.4544,7.7568,7.4167,7.3923,7.3837,6.6257,7.8752,8.1347,8.9123,9.2762,10.535,11.5101,12.1359,13.6115,14.0896
540000,-61,52,15.0245,16.4025,17.2296,18.077,18.7245,19.3841,20.1415,21.2064,21.2314,21.642,22.1435,21.994,22.7531,23.0256,23.2568,23.1243,22.5574,22.0551,21.7429,21.4946,20.5018,19.3727,18.6063,18.1179,17.0503,15.6528,15.4215,14.1344,12.9511,12.7451,11.7007,10.5851,9.6169,9.5439,8.1364,8.0334,6.8219,7.5101,6.9559,7.1635,6.9561,6.9642,7.5891,7.6904,8.69,9.1684,8.8082,10.8687,11.3881,12.3899,13.2992,14.1964
560000,-63,52,14.8583,16.3465,16.5041,18.0423,18.6652,19.6154,20.4965,20.7842,21.8242,22.0809,23.2037,22.6763,23.3224,23.1941,22.5894,23.1757,22.162,21.414,21.8399,21.3088,20.3206,19.4662,19.1929,18.0504,16.7178,16.1838,14.627,13.868,12.7701,11.5032,10.929,10.8222,9.3657,8.8469,8.0678,8.176,7.5202,7.3797,7.0266,6.6487,6.7661,7.4836,7.5026,8.1487,7.4674,9.3449,9.5468,11.1073,11.129,12.1716,13.2836,13.773
580000,-58,52,15.5471,15.9549,17.7771,17.6585,18.4849,19.1343,20.0687,20.9113,21.5296,22.2507,22.3631,22.3168,23.0721,23.2525,23.0819,23.6265,22.5377,21.8708,21.3002,20.9987,20.0024,19.3968,18.8751,17.82,16.9972,15.8907,14.6177,14.3203,12.7797,12.2044,10.9517,10.6669,9.8799,9.1975,8.7163,8.0673,7.3636,7.2153,7.2393,6.6661,6.6217,6.9638,7.7642,8.1734,8.799,8.5949,9.4412,10.4265,11.6504,12.7596,13.1973,14.7554
600000,-56,52,15.4583,15.6085,16.9129,18.2628,18.5705,19.4958,20.1843,21.3383,21.4016,22.0807,22.6422,22.7053,22.6817,22.5975,22.4862,22.4136,21.964,21.8656,21.6739,21.0043,20.057,19.2391,18.4198,17.4205,16.5438,16.1786,14.5786,14.0409,12.9001,12.8915,10.7431,10.5135,9.5949,8.7806,8.5107,7.963,7.1992,7.3603,7.1751,7.3928,6.8753,7.6736,7.4608,7.3235,8.5731,8.9874,9.4303,10.7355,11.1407,12.4682,13.0607,14.2608
620000,-69,52,15.6872,16.1905,17.1198,17.6016,19.3471,19.3942,20.5764,20.344,21.5488,21.8922,23.0174,23.6065,22.3384,23.1276,22.8114,22.7697,22.2203,22.2898,21.607,21.3844,20.5375,19.6179,18.2456,17.5049,16.7994,15.7468,15.1429,14.0431,13.2422,12.3385,11.0795,10.6832,9.7883,9.0392,8.1527,7.8085,7.4487,7.5203,6.6976,7.1163,7.2494,6.8594,7.3992,7.8152,8.6542,9.1774,10.077,10.4237,11.171,12.2884,12.8424,13.8533
640000,-71,52,15.1563,16.01,16.7451,18.1315,18.3231,19.6539,20.0388,20.9621,21.4484,21.9671,22.9712,22.7385,22.859,23.2588,23.1164,22.4415,22.4152,21.8388,21.6993,20.7247,19.9187,18.8002,18.2546,17.568,16.8438,15.5119,15.3356,14.0924,13.5986,12.0554,11.3467,10.0669,9.624,8.6212,8.6185,8.2872,7.0997,6.8392,7.3299,7.363,7.774,7.3763,7.5651,7.9537,8.3491,9.1703,9.5824,10.1684,11.3877,11.4963,13.4268,13.6849
660000,-71,52,14.9005,15.6154,15.9283,17.44,18.4287,19.584,20.6256,20.8986,21.2149,22.0057,22.2092,22.2285,22.7135,22.5091,22.9106,23.1113,22.7141,22.0194,21.3694,21.6699,20.817,19.4872,18.5894,17.3959,16.5724,15.988,14.3496,13.7759,13.0417,11.9199,10.946,10.2882,9.9334,8.8289,8.1254,8.3434,7.5731,7.3025,7.1753,6.9663,7.4476,7.0311,7.5164,7.7082,8.5284,8.8014,9.4741,10.3647,11.6636,12.4756,13.092,14.1323
680000,-56,52,15.0333,16.1802,17.1317,17.995,18.271,19.6228,20.8086,21.5775,21.7581,22.0593,22.1257,22.2606,22.5117,23.0662,22.9508,22.5208,22.457,22.1858,21.6351,20.555,20.3598,20.0329,18.7665,17.77,17.1894,15.8165,15.3658,13.4397,13.6413,12.2923,11.3277,10.2683,9.6912,8.4033,8.3958,7.9967,7.3978,7.6214,7.3024,6.8822,6.6463,7.354,6.8978,7.8206,8.6525,9.2773,9.617,10.9956,11.0461,12.5882,12.8005,13.6523
700000,-72,52,14.9554,15.4355,16.4548,17.6283,18.9844,20.0717,20.7534,20.6494,21.4567,22.0714,22.387,22.5999,23.11,23.2051,22.9445,23.0007,22.5258,22.5838,21.8277,20.9156,20.2973,19.4997,18.4556,17.4578,17.0537,16.0216,14.8931,14.3223,12.4485,12.1531,11.2077,10.2075,10.1893,9.4612,8.3005,8.3142,7.5508,7.3901,7.3429,7.4086,6.8134,7.0407,7.1975,7.8133,7.9853,8.9084,9.7396,10.6773,11.3004,11.5538,13.3697,14.1963
720000,-61,52,15.341,16.1465,17.2643,17.9798,18.3268,19.531,20.4624,21.2044,21.4359,22.0646,22.5899,23.1489,23.2432,23.1939,23.0605,22.46,22.1498,22.0561,21.8963,21.1067,20.4733,19.0941,18.2793,18.1728,16.9041,15.5702,15.2647,14.1131,13.9709,12.5382,11.3862,10.4101,9.7647,8.9811,7.9845,8.1946,7.6023,6.4061,6.8677,6.7514,7.3526,7.2192,7.9661,7.4389,8.0934,9.332,9.4985,10.1379,11.1242,11.9352,13.2473,14.3712
740000,-56,52,15.5799,16.5616,17.1706,17.4027,19.0493,19.4994,20.2442,20.6788,21.4266,22.2327,22.3112,22.8102,23.1724,23.5669,22.9491,22.6911,22.2585,21.7334,22.1631,20.7427,20.3115,19.6563,18.4467,17.6552,16.6282,15.4273,15.003,14.1259,12.7389,12.303,11.2965,9.9367,10.3011,9.7458,8.4825,8.5814,7.1703,7.0512,7.1365,6.4514,7.1087,7.8437,7.8825,7.8837,8.2101,9.1363,9.3187,10.3154,11.2649,11.9778,12.92,13.6912
760000,-71,52,15.7042,15.8404,16.6647,17.3732,18.5875,19.8272,20.4775,21.2231,21.5933,21.744,22.6284,22.5616,22.7986,22.4761,23.2733,22.5707,22.8553,22.0067,21.7328,21.1551,20.4301,19.9588,19.2312,17.5639,17.3173,16.2287,15.0867,14.2565,12.8973,11.8014,11.418,10.3173,9.7304,8.5316,8.0965,7.7925,7.704,7.0351,7.1092,6.9859,7.7667,6.9373,8.3947,8.7106,8.1944,9.0414,9.5342,10.3317,11.6096,11.9699,13.1324,13.7458
780000,-55,52,14.8469,15.7571,16.5196,18.3164,18.1895,19.6591,20.2174,20.4877,21.4975,22.2664,22.4448,22.8522,23.2658,22.6281,23.3206,22.8063,22.0666,21.8425,21.5283,21.1784,20.3538,19.9311,18.728,18.2162,17.1698,15.8696,15.0291,13.6895,13.0041,11.6778,10.8095,10.5742,9.5964,9.1439,8.2329,7.8612,8.2216,6.6472,7.4107,6.903,7.1209,7.1325,7.5591,7.8302,8.5792,9.0185,9.6183,10.3731,11.405,12.3345,12.9836,14.0646
800000,-57,52,14.9712,15.9193,16.612,17.7748,19.1953,19.5949,20.0646,20.9332,21.1198,22.0772,21.8357,23.068,23.2302,23.6059,22.7215,22.7335,22.3131,21.9272,21.258,21.4112,20.9724,19.9061,18.5012,17.8939,16.8321,15.7247,15.0579,13.9272,13.5195,12.1404,11.582,10.516,9.4506,9.2498,8.1109,7.5624,8.023,7.5202,6.8933,6.7874,7.86,7.1175,8.051,7.5033,8.498,9.6523,9.5574,10.0927,11.1922,12.8385,12.988,13.8127
820000,-55,52,14.9285,15.9341,17.1495,17.724,19.1051,19.4489,20.3117,20.5143,21.4875,22.1552,22.5965,22.9572,23.0927,22.7433,23.1561,22.6045,22.4859,21.919,22.0641,20.9533,19.4931,19.5405,19.0213,17.9433,17.0593,15.7319,15.089,13.2943,12.6736,12.4757,11.5178,10.4998,10.0431,8.9957,7.9756,8.4783,7.1081,7.4204,6.9907,6.8925,6.664,6.8685,7.4914,7.7955,8.684,9.4019,9.367,10.0886,11.2243,12.2933,13.3429,14.0441
840000,-61,52,15.0099,15.8253,17.1864,18.0029,18.381,19.4185,20.4086,21.0667,21.2027,21.9485,22.6087,22.1825,23.2508,23.024,23.0295,22.2937,21.6038,21.7396,21.6005,21.3518,20.2327,19.3766,18.6897,18.0723,17.0249,16.1083,14.9589,14.2856,13.1434,11.8851,11.7324,10.2909,9.2797,9.0229,8.2599,7.9587,7.8207,7.2453,7.218,6.754,7.2677,6.9863,7.0134,8.1523,8.1814,8.6843,9.5679,10.8431,11.1668,11.8406,13.2183,14.3073
860000,-62,52,14.881,16.411,16.5222,17.859,18.7316,19.8356,20.4266,20.7141,21.8755,22.3372,22.1648,22.5612,22.7839,22.6552,23.2611,22.6704,22.3968,21.7723,21.4655,21.4336,20.5295,19.0593,18.4209,18.0275,16.7651,15.7983,14.7419,13.6364,13.1141,12.0491,11.6243,10.4355,9.4055,9.2201,8.82,7.6956,7.0091,7.0888,6.6534,7.4925,6.642,7.1342,7.9619,8.1777,8.262,8.777,9.6406,10.3834,11.7311,12.1168,12.6805,14.3314
880000,-59,52,15.1075,16.0487,17.0016,18.3264,18.2902,19.3814,20.3576,21.2737,21.1434,22.1877,22.4174,22.6079,23.2861,22.995,22.7515,23.4154,22.9658,22.3744,21.5493,20.7126,20.0149,19.9826,18.4426,17.8001,17.307,16.2406,14.8931,14.0686,13.5395,12.2941,11.5545,10.4944,10.1111,9.3534,8.8619,7.7063,7.1417,7.1943,6.9042,7.2762,6.5371,7.3591,7.3878,7.7761,8.2505,8.7605,9.6458,9.8359,10.9802,12.2622,13.294,14.0415
900000,-64,52,15.008,15.4187,17.0429,17.8901,18.8517,19.4055,20.1525,21.2828,21.5375,22.6796,22.0583,22.6933,22.6035,22.764,22.7047,22.6233,22.715,21.7405,21.7669,20.5558,20.1833,19.9405,18.8564,17.9185,17.1036,16.1371,15.1884,14.4568,12.7739,12.1419,11.4734,10.6804,9.8624,9.4039,8.2658,7.5114,7.9016,7.2322,6.8937,7.0107,6.9286,7.5343,7.7869,8.0099,8.5784,9.0217,10.003,9.7465,10.9318,12.1512,12.9614,13.7506
920000,-58,52,14.8757,15.9731,17.4126,17.9347,18.6549,19.7767,20.128,20.9455,21.1073,22.2146,22.518,22.3905,23.0536,23.0965,23.0294,22.2159,22.1063,22.4978,22.0456,21.1116,19.435,19.2837,19.1696,18.1757,16.9167,15.7121,15.3279,14.0343,12.7646,12.6132,10.3927,10.8137,9.7304,8.7941,8.5648,7.5456,7.2406,7.6136,6.9369,6.8661,7.1892,7.3891,7.5479,8.0175,8.2719,9.2084,9.4375,10.3915,11.2116,11.9255,13.021,14.625
940000,-69,52,15.329,16.3403,16.8254,17.8921,18.6429,19.9763,20.2569,20.8354,21.7444,22.2939,22.489,23.3453,22.8119,23.1037,22.6576,22.4557,22.396,22.1676,21.7259,20.4946,19.8958,19.8308,18.5085,17.259,16.5813,16.0618,14.4737,13.7379,13.1615,12.0545,11.7015,10.3813,9.505,8.4592,8.5016,7.6266,8.0687,7.1211,6.7936,7.0088,6.9792,7.6018,7.92,8.3457,8.5677,8.3944,9.7021,10.3637,10.8814,11.7563,13.7727,14.1063
960000,-67,52,14.9897,15.9683,17.1093,17.7843,18.6577,19.3967,20.2012,20.8453,21.8028,21.9852,22.3516,22.5795,22.4918,23.4681,23.0942,23.0275,22.3212,22.5208,21.6274,21.4239,20.301,19.5311,18.5594,17.8601,16.982,16.4121,15.4619,14.0627,13.4512,11.3479,11.1411,10.5304,9.9612,9.1388,8.3993,7.7779,7.2799,7.8031,7.395,7.3923,7.0615,7.0721,7.6863,7.909,8.3777,9.0045,9.5051,10.1941,11.2095,11.7475,13.2649,14.2873
980000,-58,52,15.0814,15.8658,17.3192,18.1327,18.468,19.3869,20.5588,20.9284,21.7381,22.2696,22.8089,22.9599,22.6097,22.7588,23.0248,22.3157,22.7339,21.7245,21.4683,21.3315,19.8079,19.5147,18.6894,17.9333,17.5124,15.5178,14.8533,14.0404,12.6827,12.1642,10.4679,10.3092,10.392,8.9543,8.8185,8.3557,7.2598,7.1133,6.8502,6.5356,7.552,7.0872,7.6314,7.9281,8.4096,9.0972,10.1867,10.6518,10.8604,12.1456,12.7746,14.0337
1000000,-60,52,15.3233,16.1485,16.7342,17.6757,18.5858,19.8784,20.463,21.5098,21.293,22.016,22.1019,22.3424,22.8951,22.8993,22.7878,22.3071,22.5392,21.9985,21.8583,21.1532,19.9115,19.6632,18.5381,18.2966,16.9056,15.8132,14.878,13.5854,13.4678,12.799,10.7633,10.3799,9.6619,8.8336,8.7814,8.2906,7.4463,7.8539,7.0682,6.9274,7.1423,7.0087,7.9558,8.1013,8.3096,8.9563,9.4227,10.5342,10.8941,12.1641,12.9303,14.2058
